Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
CA2359362,21.07.2000,METHODS FOR CUSTOMIZING PET FOOD,"[09/232,916 1999-01-15T23:59:59.000Z US]",A23K 1/18;A01K 5/02;A01K 29/00;G01N 33/00,RALSTON PURINA COMPANY,,
CA2346325,28.04.2000,BIOFLAVONOIDS AS PLASMA HIGH DENSITY LIPOPROTEIN LEVEL INCREASING AGENT,,A61K 31/353;A21D 2/36;A21D 13/00;A21D 13/08;A23L 1/30;A61K 31/7034;A61K 31/7048;A61P 3/06;A61P 9/10;A61P 29/00;A61P 43/00;A23L 1/24;A23L 2/52;C07D 311/30;C07D 311/32;C07H 15/203;C07H 17/07,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,"BOK, SONG HAE;JEONG, TAE SOOK;CHOI, MYUNG SOOK;MOON, SURK SIK;KWON, YONG KOOK;LEE, EUN SOOK;HYUN, BYUNG HWA;CHOI, YANG KYU;LEE, CHUL HO;AHN, BYUNG TAE;LEE, SAE BOM;KIM, SUNG GYU;MOON, OG SUNG;PARK, YONG BOK",
CA2341474,03.03.2000,REFRIGERATOR WITH VARYING WIDTH FRESH FOOD AND FREEZER COMPARTMENTS,"[09/139,124 1998-08-25T23:59:59.000Z US]",F25D 11/02;A47B 67/04;F25D 23/02,MAYTAG CORPORATION,"JACKOVIN, GARY B.",
CA2342608,24.03.2000,BIOFLAVONOID AS BLOOD GLUCOSE LEVEL LOWERING AGENT,[1998/37958 1998-09-15T23:59:59.000Z KR],A61K 31/353;A23L 2/56;A61K 31/34;A61K 31/35;A61K 31/70;A61P 3/10,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,"KWON, YONG KOOK;LEE, EUN SOOK;LEE, SAE BOM;AHN, BYUNG TAE;LEE, CHUL HO;CHOI, YANG KYU;HYUN, BYUNG HWA;MOON, SURK SIK;PARK, YONG BOK;BAE, KI HWAN;CHOI, MYUNG SOOK;BOK, SONG HAE;JEONG, TAE SOOK",
CA2166497,08.07.1996,COOL-APPLIED HOT MELT ADHESIVE COMPOSITION,"[08/369,244 1995-01-06T23:59:59.000Z US]",C09J 123/08;C09J 191/08;C09J 193/04,,"LIEDERMOOY, INGRID;STAUFFER, DANIEL C.;PULETTI, PAUL P.",
il180562,12.02.2009,SELF TEACHING ENGLISH KEYBOARD FOR CHILDREN WITH DYSLEXIA,,,MARINA VIGODSKY,,
CA2360065,28.07.2000,LIPOPROTEIN COMPLEXES AND COMPOSITIONS CONTAINING THEM,"[MI99A000114 1999-01-22T23:59:59.000Z IT, MI99A002471 1999-11-26T23:59:59.000Z IT]",A61K 38/55;A23J 7/00;A23L 1/305;A61K 38/00;A61P 3/00;A61P 3/04;C07K 14/81,HUNZA DI MARIA CARMELA MARAZZITA S.A.S.,"PISTOLESI, ELVIRA;CESTARO, BENVENUTO",
CA2279163,01.02.2000,SAVOURY VEGETABLE PREPARATION AND PROCESS FOR ITS PRODUCTION,[198 34 638.7 1998-07-31T23:59:59.000Z DE],A23L 1/212,BESTFOODS,"SCHARF, KARL",
CA2458896,11.10.2004,COMBINATION HEATING SYSTEM FOR A COOKING APPLIANCE,"[10/410,286 2003-04-10T23:59:59.000Z US]",F24C 3/12;F24C 1/04;F27D 11/00;H05B 3/68,MAYTAG CORPORATION,"AHUJA, SANDEEP",
CA2461758,25.04.2003,USE OF CYSTATHIONINE,[01203902.0 2001-10-16T23:59:59.000Z EP],A23L 1/305;A61K 31/40,SOCIETE DES PRODUITS NESTLE S.A.,"FINOT, PAUL-ANDRE;HUYNH-BA, TUONG;BREUILLE, DENIS;VUICHOUD, JACQUES",
CA2464382,,SHELF-STABLE SHREDDED CHEESE,"[10/420,185 2003-04-22T23:59:59.000Z US]",A23C 19/00;A23C 19/086;A23C 19/09;A23C 19/14,"KRAFT FOODS HOLDINGS, INC.",,
CA2393430,02.02.2004,DISPLAY WITH MULTIPLE PRE-PROGRAMMED MESSAGES,,G09F 9/30;G06F 3/147;G09F 9/33;G09F 9/35;G09F 21/04;G09G 5/12,"MOHAMED, ABDULAHI H.","MOHAMED, ABDULAHI H.",
CA2434925,29.02.2004,IMPROVED BINDER SYSTEM FOR THERMALLY PROCESSED MEAT PRODUCTS AND MEAT PRODUCT PRODUCED THEREBY,"[10/229,983 2002-08-28T23:59:59.000Z US]",A23L 1/31;A22C 5/00;A22C 21/00;A22C 25/00;A22C 29/00;A23L 1/314;A23L 1/317;A23L 1/333,THE PILLSBURY COMPANY,"THOMAS, DAVID J.;NEWKIRK, KYLE A.",
CA2495178,06.02.2004,FOOD KIT FOR COMPONENTS OF CHILLED AND FROZEN DESSERTS,"[10/628,877 2003-07-28T23:59:59.000Z US, 60/399,857 2002-07-31T23:59:59.000Z US]",A45C 11/20;B65D 1/00;B65D 85/60;B65D 85/72;B65D 85/78;C12C 1/027,"DREYER'S GRAND ICE CREAM, INC.","VINCENT, MICHAEL J.;MARTIN, ROBERT W., JR.;SMEESTER-KARPELES, RACHELLE M.;MORRIS, DANA M.;MARABLE, ALGER C.",
CA2454213,25.06.2005,ADJUSTABLE LATCH MOUNT,,E05C 3/02;E05B 65/00;E05C 19/00;E05B 15/00;E05B 63/00;E05C 3/04,"WITTIG, GREG","WITTIG, GREG",
CA2144009,30.09.1995,MANUFACTURE OF LARGE BLOCKS OF PASTA FILATA CHEESE,"[218,519 1994-03-28T23:59:59.000Z US]",A23C 19/02;A01J 25/00;A23C 19/06;A23C 19/068,"KRAFT FOODS, INC.","MEILLEUR, RHEAL P.",
CA2457172,10.08.2005,LOW CARB OMEGA 3 FOOD COATING COMPOSITION AND METHOD OF MAKING THEREOF,,A23L 1/36;A23L 1/29;A23P 1/08,"WOJCIAK, JANUSZ;BHATNAGAR, DINESH","WOJCIAK, JANUSZ;BHATNAGAR, DINESH",
CA2499714,09.09.2005,REHYDRATABLE PERSONAL CARE COMPOSITIONS,"[10/795,764 2004-03-08T23:59:59.000Z US]",A61K 8/20;A61K 8/25;A61K 8/26;A61K 8/34;A61K 8/44;A61K 8/65;A61K 8/73;A61K 8/81;A61K 8/92;A61Q 5/02;A61Q 19/10,JOHNSON & JOHNSON PACIFIC PTY LIMITED,"LAMBINO, DANILO L.",
CA2397014,27.07.2001,FRAGRANCE DISPENSING DEVICE,[0001038.9 2000-01-17T23:59:59.000Z GB],A45D 34/00;A45D 33/02;A45D 40/00;A61L 9/12,THE AROMA COMPANY (EUROPE) LIMITED,"HARROP, SIMON;GOODWIN, DAVID",
CA2137995,15.06.1996,HEATED AIR-CIRCULATING OVEN,,F24C 15/32;F24B 5/08;F27B 17/00,ZESTO FOOD EQUIPMENT MANUFACTURING INC.,"MOSHONAS, GEORGES",
CA2389080,18.05.2001,MISTLETOE LECTINS AS MUCOSAL ADJUVANTS,"[60/161,371 1999-10-26T23:59:59.000Z US]",A61K 39/39;A61P 31/00;A61P 31/22,CHIRON CORPORATION,"LAVELLE, EDWARD C.;O'HAGAN, DEREK",
CA2410049,08.05.2002,METHOD AND APPARATUS FOR INCLUDING ARTICLE IDENTIFICATION IN AN ARTICLE HANDLING DEVICE,"[60/206,363 2000-05-23T23:59:59.000Z US]",G07F 11/00;G07F 5/18;G07F 9/02;G07F 11/04;G07F 11/10;G07F 11/16;G07F 11/62,"CHIRNOMAS, MUNROE","CHIRNOMAS, MUNROE",
CA2417457,22.11.2003,PORTABLE LIGHTED DISPLAY,"[10/151,243 2002-05-21T23:59:59.000Z US, 10/217,567 (CIP) 2002-08-14T23:59:59.000Z US]",G09F 13/00;G09F 7/18,"LIGHTED LOGOS, L.C.","FALKNER, JASON R.;LANKFORD, PAUL;BIRON, SCOTT L.",
CA2175306,27.03.1997,PROCESS FOR PREPARING FOOD PRODUCTS HAVING GRAIN SHELLS AND ENCLOSED NON GRAIN INTERIORS,"[535,462 1995-09-25T23:59:59.000Z US]",A23L 1/10;A23L 1/164;A23P 1/00,"ZUKERMAN, HAROLD W.;ZUKERMAN, RACHEL B.","ZUKERMAN, HAROLD W.;ZUKERMAN, RACHEL B.",
CA2404058,30.09.2003,METHOD FOR PRODUCING BREADS,[2002-094949 2002-03-29T23:59:59.000Z JP],A21D 8/04;A21D 2/08;C12N 1/18,NISSHIN SEIFUN GROUP INC.,"MAEDA, TATSUROU;YAMADA, MASAHARU;TAKEYA, KOUJI",
CA2380361,02.02.2001,METHOD FOR WRAPPING FOODSTUFFS AND WRAPPING VESSELS THEREOF,[1999/30874 1999-07-28T23:59:59.000Z KR],B65B 25/00;B65D 75/52;B65D 75/58;B65D 85/72;G01F 19/00,"HANLIM MECHATRONICS CO., LTD.","RHEE, YEONG-WON",
CA2410060,14.12.2001,METHOD AND APPARATUS FOR POSITIONING AN ARTICLE HANDLING DEVICE,"[60/206,363 2000-05-23T23:59:59.000Z US]",G07F 11/62;G07F 5/18;G07F 9/02;G07F 11/04;G07F 11/10;G07F 11/16,"CHIRNOMAS, MUNROE","CHIRNOMAS, MUNROE",
EP2230192,23.09.2010,Microwave energy interactive food package,"[07776157 2007-04-25T23:59:59.000Z EP, 79532506 2006-04-27T23:59:59.000Z US]",B65D 81/34;B65D 81/38,GRAPHIC PACKAGING INT INC,COLE LORIN;KEEFE DANIEL J;LAI LAURENCE;LIU BING,
EP0672349,21.09.1995,Assembly containing a dough and process for its preparation,"[94104044 1994-03-16T23:59:59.000Z EP, 95102934 1995-03-02T23:59:59.000Z EP]",A21D 6/00;A21D 10/02;B65B 25/00;B65D 77/22,NESTLE SA,VIDKJAER KARSTEN,
CA2814252,,MICROWAVE ENERGY INTERACTIVE FOOD PACKAGE,"[60/795,325 2006-04-27T23:59:59.000Z US]",B65D 81/34,"GRAPHIC PACKAGING INTERNATIONAL, INC.",,
CA2778739,,MULTI-SHEET ADVERTISING SYSTEM,"[61/492,656 2011-06-02T23:59:59.000Z US]",G09F 7/00;G09F 7/12,"VOMELA SPECIALTY CO., INC.",,
EP2759969,31.07.2014,Payment support method and system,[20130008505 2013-01-25T23:59:59.000Z KR],G06Q 20/00,SAMSUNG ELECTRONICS CO LTD,KIM KYUNGDONG;LEE SHINWOO,
CA2562473,28.10.2005,PREVENTIVE AND/OR THERAPEUTIC AGENT FOR INFLAMMATORY BOWEL DISEASES,[2004-117755 2004-04-13T23:59:59.000Z JP],A61K 35/74;A23L 1/30;A61K 31/192;A61P 1/00;A61P 29/00,MEIJI DAIRIES CORPORATION,,
CA2544008,,CENTRALIZED PERSONAL DIRECTORY SCHEME FOR COMMUNICATIONS NETWORKS,"[11/259,090 2005-10-27T23:59:59.000Z US]",H04M 1/57,MITEL NETWORKS CORPORATION,,
EP2764777,14.08.2014,"Process for manufacturing a cooking oven, particularly for food, and oven thus obtained",[MI20130186 2013-02-11T23:59:59.000Z IT],A21B 1/33;F24B 1/24,TEK REF SRL,PIERI LUCA,
CA2553060,,DOG CHEW TREATS,"[60/701,623 2005-07-22T23:59:59.000Z US]",A23K 1/14;A23P 1/10,DEL MONTE CORPORATION,,
EP0578791,20.01.1994,Method of forming a laminate for use in microwave cooking and popcorn bag made of such a laminate,"[79178291 1991-11-12T23:59:59.000Z US, 9209297 1992-10-30T23:59:59.000Z US]",B32B 27/10;B65D 81/34,HUNT WESSON INC,ARCHIBALD WILLIAM E;SCRIMAGER CYNTHIA G,
EP0708851,02.05.1996,"WARP-KNIT CASTING BANDAGE FABRIC, WARP-KNIT CASTING BANDAGE AND METHOD FOR MAKING BANDAGE","[9402254 1994-07-09T23:59:59.000Z EP, 9853593 1993-07-28T23:59:59.000Z US]",A61F 13/04;D04B 21/18;D04B 21/20,LOHMANN GMBH & CO KG,EDENBAUM MARTIN,
EP0357008,08.03.1990,MICROWAVE INTERACTIVE COATING COMPOSITIONS AND HEATING ELEMENTS,[23954488 1988-09-01T23:59:59.000Z US],H05B 6/74;B65D 81/34;C09D 5/38;H01C 7/02,JAMES RIVER CORPORATION OF VIRGINIA,"POLLART, KENNETH A.;LAFFERTY, TERRENCE P.",
EP2135819,24.12.2009,MERCHANDISE DISPLAY BODY AND METHOD OF MANUFACTURING THE SAME,"[2007066319 2007-03-15T23:59:59.000Z JP, 2008054186 2008-03-07T23:59:59.000Z JP]",B65D 73/00;A47F 7/00;B65B 15/04;B65B 61/14,ISHIDA SEISAKUSHO,IWASAKI YOSHIO;YAMAMOTO AKIRA,
EP2201847,01.07.2010,"FROZEN NOODLES, METHOD OF PRODUCING THE FROZEN NOODLES AND COATING SOLUTION FOR PREVENTING FREEZER BURN","[2007278273 2007-10-26T23:59:59.000Z JP, 2008002839 2008-10-08T23:59:59.000Z JP]",A23L 1/00;A23L 1/16,NISSHIN FOODS INC,IRIE KENTARO,
EP2258816,09.12.2010,SOLID FUEL AND METHOD OF PRODUCING SOLID FUEL,"[2008035984 2008-02-18T23:59:59.000Z JP, 2008069952 2008-10-31T23:59:59.000Z JP]",C10L 5/44;B09B 3/00,KURIYAMA SHINSUKE;TAKAHASHI HIDEHISA;TAKIGUCHI KAZUNORI,,
EP1679004,13.07.2006,MODIFIED-ATMOSPHERE PRESERVATION OF LIVE BIVALVE SHELLFISH IN A HERMETIC CONTAINER,"[200302313 2003-10-06T23:59:59.000Z ES, 2004070071 2004-09-21T23:59:59.000Z ES]",A23B 4/16;A01K 63/02;A22C 29/04;A23L 1/333;B65D 81/20;B65D 85/50,CONSEJO SUPERIOR INVESTIGACION,PASTORIZA ENRIQUEZ LAURA;SAMPEDRO CEDEIRA GABRIEL;BERNARDEZ COSTAS MARIA;LOPEZ CABO MARIA;RODRIGUEZ HERRERA JUAN J,
EP1738761,04.01.2007,PREVENTIVE AND/OR REMEDY FOR INFLAMMATORY BOWEL DISEASES,"[2004117755 2004-04-13T23:59:59.000Z JP, 2005007183 2005-04-13T23:59:59.000Z JP]",A61K 35/74;A23L 1/30;A61K 31/192;A61P 1/00;A61P 29/00,MEIJI DAIRIES CORP,UCHIDA MASAYUKI;NARUSHIMA SEIKO;MORIKUBO KEIKO,
EP0443402,29.08.1991,Wrapping for foods,[1720690U 1990-02-21T23:59:59.000Z JP],B65D 81/34;B32B 5/26;B32B 7/02;B65D 65/40,KURARAY CO,AKAHORI KOUJI;KANEHIRA HIROSHI,
EP0457598,22.11.1991,Use of a breathable abuse resistant film for packaging cheese,"[52541690 1990-05-17T23:59:59.000Z US, 65276191 1991-02-08T23:59:59.000Z US]",B32B 27/08,GRACE W R & CO,SHAH GAUTAM P;GILLIO-TOS MARIO;OREGLIA AURELIO,
EP0841150,14.05.1998,Disposable food contact compatible microwaveable containers having one micronodular surface and process for their manufacture,"[73346396 1996-10-18T23:59:59.000Z US, 94702597 1997-10-08T23:59:59.000Z US]",B65D 81/34;B29C 47/00;B29C 51/00;B29C 59/04;B29D 7/01;B29K 23/00;B29L 7/00;B29L 31/56;B65D 1/34;C08J 5/18;C08K 3/00;C08K 3/34;C08L 23/02,GEORGIA PACIFIC CORP,NECULESCU CRISTIAN M;LITTLEJOHN MARK B;ROGERS RICHARD J;SWIONTEK ANTHONY J,
EP1346554,25.09.2003,METHOD FOR POSITIONING OF STATIONARY COMMUNICATION TERMINALS,"[0004771 2000-12-20T23:59:59.000Z SE, 0102722 2001-12-10T23:59:59.000Z SE]",H04Q 7/38;H04M 3/22;H04M 3/42;H04M 3/493,TELIA AB,BERGENDORFF HANS,
EP1403014,01.04.2004,Perforated vacuum hold down surface,[25635602 2002-09-27T23:59:59.000Z US],B26D 7/02;A41H 43/02;B26D 5/00;B26D 7/01,GERBER TECHNOLOGY INC,BROWN ERIC,
EP2445359,03.05.2012,COMPOUNDS,"[2010059027 2010-06-24T23:59:59.000Z EP, 0911000 2009-06-25T23:59:59.000Z GB]",A23L 1/226;C07C 235/34;C07C 235/78;C07D 317/60,GIVAUDAN SA,KAOUAS ABDELMAJID;RENES HARRY;TONDEUR ALEXANDER P;WINKEL CORNELIS,
EP2546791,17.01.2013,METHOD AND SYSTEM FOR PERFORMING A TRANSACTION,[2010070128 2010-03-08T23:59:59.000Z ES],G06Q 20/00,TELEFONICA SA,MARTINEZ ELICEGUI JAVIER;ORTEGA BARRADO PEDRO JOSE;VILLOSLADA DE LA TORRE EDUARDO,
EP2626112,15.08.2013,A plant extract from the genus lindera for lowering intraocular pressure,[20120013703 2012-02-10T23:59:59.000Z KR],A61P 27/06;A61K 36/906,,,
EP2629038,22.08.2013,Furnace,[GE20120021 2012-02-17T23:59:59.000Z IT],F27B 17/00;B21J 17/00;F27D 7/02,FORGIA PIZZI DI PIZZI LUCA,PIZZI LUCA,
EP2764778,14.08.2014,ANTI-FUNGAL AGENT FOR PROCESSED CEREAL FOODS,"[2011220549 2011-10-04T23:59:59.000Z JP, 2012075517 2012-10-02T23:59:59.000Z JP]",A21D 8/04;A21D 2/26;A21D 10/00;A21D 13/08;A23L 3/3571,NAGASE CHEMTEX CORP;NAGASE & CO LTD,SHIRASAKA NAOKI;YAMAGUCHI HITOMI,
EP2789332,16.10.2014,PHARMACEUTICAL COMPOSITION COMPRISING DIAMINODIPHENYLSULFONE OR THE PHARMACEUTICALLY ACCEPTABLE SALTS THEREOF FOR PREVENTING OR TREATING DISEASES ASSOCIATED WITH DECREASE IN BONE MASS,"[20110130608 2011-12-07T23:59:59.000Z KR, 2012010648 2012-12-07T23:59:59.000Z KR]",A61K 31/136;A61K 31/18;A61P 19/00;A61P 19/10,,,
US4100302,12.07.1978,Container for electrical resistance cooking,[05675773 1976-04-12T23:59:59.000Z US],A23L 1/00;A23L 1/00;A23L 1/01;A23L 1/01;A23L 3/32;A23L 3/32;B65D 81/34;B65D 81/34;H05B 3/00;H05B 3/00;H05B 3/06;H05B 3/06,Lectrofood Corp.,Theimer Ernst Theodore;Heinze George E.,
US5204503,21.04.1993,Microwave oven having convection and griddle features,,F24C 7/06;H05B 6/74;H05B 6/80,Raytheon Company,Maiellano Joseph C.;Sklenak John S.,
US20010020188,07.09.2001,Selective uptake of materials by bone implants,"[08958364 1997-10-27T23:59:59.000Z US, 09417401 1999-10-13T23:59:59.000Z US, 09518000 2000-03-02T23:59:59.000Z US, 09585772 2000-06-02T23:59:59.000Z US, 09778046 2001-02-05T23:59:59.000Z US]",A61F 2/28;A61B 17/06;A61B 17/86;A61F 2/00;A61F 2/08;A61F 2/28;A61F 2/30;A61F 2/42;A61F 2/44;A61F 2/46;A61L 27/36;A61L 27/38,SANDER TOM,Sander Tom,
US6022447,09.02.2000,Process for treating a fibrous material and article thereof,,B32B 5/06;D21F 11/00;D06P 1/22;D04H 1/46;D04H 1/42;D04H 1/42;D04H 1/46;D04H 1/46;D06P 1/00;D06P 1/30;D06P 1/38;D06P 1/38;D21H 21/14;D21H 21/28;D21H 25/00;D21H 25/00,Kimberly-Clark Corp.,Radwanski Fred Robert;Skoog Henry,
US20030004897,03.01.2003,Method and system for communicating user specific information,"[09044579 2001-10-23T23:59:59.000Z US, 09894613 2001-06-27T23:59:59.000Z US]",G06F 17/60;H04K 1/00;G06F 17/30;H04L 9/00;G06F 17/30,,Smith IV James E.,
US20030006633,10.01.2003,Heat retentive inductive-heatable laminated matrix,"[60292268 2001-05-21T23:59:59.000Z US, 60352522 2002-01-31T23:59:59.000Z US]",A47C 7/74;H05B 6/10;A47C 7/02;A47C 7/74;A47J 27/00;A47J 36/24;H05B 6/02;H05B 6/06,"Thermal Solutions, Inc.","Clothier, Brian L.",
US20030112936,20.06.2003,Origin device billing according to caller,[09023408 2001-12-17T23:59:59.000Z US],H04M 15/00;H04M 15/00,International Business Machines Corporation,Brown Michael Wayne;McIntyre Joseph Herbert;Paolini Michael A.;Weaver James Mark;Winters Scott Lee,
US20030029862,14.02.2003,Thermal seat and thermal device dispensing and vending system employing RFID-based induction heating devices,"[60292268 2001-05-21T23:59:59.000Z US, 60352522 2002-01-31T23:59:59.000Z US]",H05B 6/10;H05B 6/06;A47C 7/02;A47C 7/74;A47C 7/74;H05B 6/02,"Thermal Solutions, Inc.","Clothier, Brian L.",
US20020126130,13.09.2002,Efficient video coding,[PR212600 2000-12-18T23:59:59.000Z AU],H04N 7/12;H04N 7/12;G06F 3/14;G06F 3/14;H04N 7/26;H04N 7/26;H04N 7/36;H04N 7/36;H04N 7/50;H04N 7/50;H04N 11/00;H04N 11/02,Canon Kabushiki Kaisha,Yourlo Zhenya Alexander,
US20020136806,27.09.2002,One-dish frozen dinner product having an integral bread ring and apparatus for shipping and preparing same,"[09729993 2000-12-04T23:59:59.000Z US, 09822630 2001-03-30T23:59:59.000Z US, 10100999 2002-03-19T23:59:59.000Z US]",A21D 6/00;A21B 3/13;A47J 36/02;A47J 36/36;A47J 37/01,"Kraft Foods Holdings, Inc.","Gosselin, Amy L.;Cole, Frank;Greiner, Steven;Guzowski, Christopher P.;Zettlemeyer, Amy Lynne;Schwab, Barbara Sue;Livezey, Richard William",
US20040004073,09.01.2004,Thermal seat and thermal device dispensing and vending system employing RFID-based induction heating devices,"[10151911 2002-05-20T23:59:59.000Z US, 60292268 2001-05-21T23:59:59.000Z US, 60352522 2002-01-31T23:59:59.000Z US]",H05B 3/06;A47C 7/02;A47C 7/74;H05B 6/02,"Thermal Solutions, Inc.","Clothier, Brian L.",
US20040004072,09.01.2004,Heat retentive inductive-heatable laminated matrix,"[10151910 2002-05-20T23:59:59.000Z US, 60292268 2001-05-21T23:59:59.000Z US, 60352522 2002-01-31T23:59:59.000Z US]",H05B 6/12;A47C 7/02;A47C 7/74;A47J 27/00;A47J 36/24;H05B 6/02;H05B 6/06,"Thermal Solutions, Inc.","Clothier, Brian L.",
US20040203610,15.10.2004,Creating and transmitting a text message from a terminal,[10132539 2002-04-25T23:59:59.000Z US],H04B 1/38;H04M 11/10;H04M 1/274;H04M 1/00;H04M 1/2745;H04Q 7/20;H04M 1/72;H04M 1/725,,Deeds Douglas,
US20050238151,28.10.2005,Origin device order billing according to caller,[09023408 2001-12-17T23:59:59.000Z US],H04M 15/00,International Business Machines Corporation,Brown Michael Wayne;McIntyre Joseph Herbert;Paolini Michael A.;Weaver James Mark;Winters Scott Lee,
US20050136167,24.06.2005,Frozen microwaveable bakery products,"[60376068 2002-04-29T23:59:59.000Z US, US03013368 2003-04-29T23:59:59.000Z WO]",A21D 10/00;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02,,Kraklow Harry K.;Kandler Cynthia R.,
US20060031404,10.02.2006,Method of providing a web page with additional content inserted in an intermediate network entity (INE) platform,,G06F 15/16;G06F 15/16,KASSAB HISHAM,Kassab Hisham,
US20050283473,23.12.2005,"Apparatus, method and system of artificial intelligence for data searching applications","[10946488 2004-09-21T23:59:59.000Z US, 60580471 2004-06-17T23:59:59.000Z US]",G06F 17/30;G06F 17/30;G06F 17/30,ROUSSO ARMAND;SCHWARTZ STEVEN,Rousso Armand;Schwartz Steven,
US20060073258,07.04.2006,Process for producing an ultrafine-milled whole-grain wheat flour and products thereof,"[10738732 2003-12-17T23:59:59.000Z US, 10945199 2004-09-20T23:59:59.000Z US, 11211864 2005-08-25T23:59:59.000Z US]",A21D 2/00;A21D;A21D 2/00;A21D 6/00;A21D 6/00;A23L 1/10;A23L 1/10,KOROLCHUK THEODORE,Korolchuk Theodore,
US20070137633,22.06.2007,Conveyor oven,"[11591074 2005-03-07T23:59:59.000Z US, 60550578 2004-03-05T23:59:59.000Z US, 60551268 2004-03-08T23:59:59.000Z US, 60615888 2004-10-05T23:59:59.000Z US, US05007261 2005-03-07T23:59:59.000Z WO]",F24C 15/32;F24C 15/32,MCFADDEN DAVID,McFadden David,
US20070214470,14.09.2007,"Methods, systems, and computer program products for obtaining consumer information over a communications network",,H04H 60/33;H04H 60/45;H04H 60/66;H04N 7/16;H04N 7/16;H04N 7/167;H04N 7/167,"AT&T Intellectual Property I, L.P.",Glasgow Jay O.;Branam Michael Glenn;Dodgen Jeffrey David,
US20050079254,15.04.2005,"Method for reducing acrylamide in foods, foods having reduced levels of acrylamide, and article of commerce","[10811603 2004-03-29T23:59:59.000Z US, 60510567 2003-10-10T23:59:59.000Z US, 60540942 2004-01-29T23:59:59.000Z US]",C12H 1/04;A23L 1/015;A23L 1/015;A23L 1/164;A23L 1/164;A23L 1/214;A23L 1/2165;A23L 1/217,The Procter &; Gamble Company,Corrigan Patrick Joseph,
US20070014353,19.01.2007,Efficient video coding,[PR2126 2000-12-18T23:59:59.000Z AU],H04N 7/12;H04N 7/12;G06F 3/14;G06F 3/14;H04N 7/26;H04N 7/26;H04N 7/36;H04N 7/36;H04N 7/50;H04N 7/50,Canon Kabushiki Kaisha,Yourlo Zhenya Alexander,
US20080220122,12.09.2008,Frozen Microwavable Bakery Products,[US03013368 2003-04-29T23:59:59.000Z WO],A21D 8/02;A21D 8/02;A21D 2/00;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02,"First Products, Inc., a Minnesota corporation",Kraklow Harry K.;Kandler Cynthia R.,
US20080207316,29.08.2008,"Method and system for using online entertainment to promote goods, services, activities and events",[60863958 2006-11-01T23:59:59.000Z US],A63F 9/24;A63F 9/24;G06Q 30/00;G06Q 30/00,BURNETT JAMES MARK;SMITH TED,Burnett James Mark;Smith Ted,
US20070087090,20.04.2007,Elevated microwave heating construct,,H05B 6/80;B65D 81/34,"Graphic Packaging International, Inc.",Russell Mitchell W.;Liu Bing;Lai Laurence M. C.,
US20080226780,19.09.2008,Frozen Microwavable Bakery Products,[US0313368 2003-04-29T23:59:59.000Z WO],A21D 8/00;A21D 8/06;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02;A23L 1/025;A23L 1/025,"First Products, Inc., a Minnesota corporation",Kraklow Harry K.;Kandler Cynthia R.,
US20080130846,06.06.2008,Origin device billing according to caller,,H04M 15/00;H04M 11/00,International Business Machines Corporation,Brown Michael Wayne;McIntyre Joseph Herbert;Paolini Michael A;Weaver James Mark;Winters Scott Lee,
US20090292464,27.11.2009,SYSTEM AND METHOD FOR PROVIDING GEOGRAPHIC MARKERS ON ELECTRONIC OBJECTS AND REAL-WORLD OBJECTS,,G01C 21/00;G01C 21/00,"TELE ATLAS NORTH AMERICA, INC.",Fuchs Gil;Glassmann Simon D.;Nevin David;Koenig Darren,
US20080086359,11.04.2008,SALES OPPORTUNITY EXPLORER,[60828181 2006-10-04T23:59:59.000Z US],G06Q 10/00;G06Q 10/00;G06F 17/30;G06F 17/30;G06F 17/40;G06F 17/40;G06Q 30/00;G06Q 30/00,HOLTON PETER R;RAUCH RICHARD J;MUELLER JEFFREY JOHN;MCBRIDE PATRICK JAMES,Holton Peter R.;Rauch Richard J.;Mueller Jeffrey John;McBride Patrick James,
US20080260926,24.10.2008,Frozen Microwavable Bakery Products,[US03013368 2003-04-29T23:59:59.000Z WO],A21D 10/00;A21D 10/02;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00,"FIRST PRODUCTS, INC.",Kraklow Harry K.;Kandler Cynthia R.,
US20100077095,26.03.2010,Method and apparatus for collecting viewer survey data and for providing compensation for same,,H04H 20/14;H04H 60/29;H04H 60/32;H04H 60/45;H04N 7/10;H04N 7/025;H04N 7/173,"Hulu, LLC",Wong Robert Masao;Tom Richard Waiven;Wei Eugene Chuan-Huai;Kilar Jason Alan,
US7756945,14.07.2010,Interacting with a shared data model,,G06F 15/16;G06F 15/16,"Ning, Inc.",Andreessen Marc L.;Vassallo Steven;Meeks Eric Reed;Gately Dermot Martin;Sklar David,
US20110082746,08.04.2011,Systems and Methods for Providing Location Based Promotions and Feedback Services,,G06Q 30/00;G01C 21/00;H04M 3/493,Rice Christopher;Varshavasky Alex,Rice Christopher;Varshavasky Alex,
